,Unnamed: 0,session,text,audio,speaker_id,duration
0,0,F01-Session1-arrayMic-0006,STICK,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0006.wav,F01,1.8
1,1,F01-Session1-arrayMic-0008,EXCEPT IN THE WINTER WHEN THE OOZE OR SNOW OR ICE PREVENTS,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0008.wav,F01,10.35
2,2,F01-Session1-arrayMic-0009,PAT,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0009.wav,F01,1.95
3,3,F01-Session1-arrayMic-0010,UP,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0010.wav,F01,1.95
5,5,F01-Session1-arrayMic-0012,MEAT,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0012.wav,F01,1.95
6,6,F01-Session1-arrayMic-0013,KNOW,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0013.wav,F01,1.65
7,7,F01-Session1-arrayMic-0014,HE SLOWLY TAKES A SHORT WALK IN THE OPEN AIR EACH DAY,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0014.wav,F01,6.9
8,8,F01-Session1-arrayMic-0015,AIR,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0015.wav,F01,1.8
9,9,F01-Session1-arrayMic-0016,SWARM,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0016.wav,F01,1.95
10,10,F01-Session1-arrayMic-0017,DOUBLE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0017.wav,F01,1.65
11,11,F01-Session1-arrayMic-0018,NO,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0018.wav,F01,1.35
12,12,F01-Session1-arrayMic-0019,STORM,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0019.wav,F01,1.95
13,13,F01-Session1-arrayMic-0020,USUALLY MINUS SEVERAL BUTTONS,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0020.wav,F01,4.2
14,14,F01-Session1-arrayMic-0021,DUG,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0021.wav,F01,2.85
15,15,F01-Session1-arrayMic-0022,YOU WISHED TO KNOW ALL ABOUT MY GRANDFATHER,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0022.wav,F01,5.85
16,16,F01-Session1-arrayMic-0024,KNEE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0024.wav,F01,2.4
17,17,F01-Session1-arrayMic-0025,FEET,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0025.wav,F01,1.65
18,18,F01-Session1-arrayMic-0026,TRAIN,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0026.wav,F01,1.8
19,19,F01-Session1-arrayMic-0027,BUT HE ALWAYS ANSWERS BANANA OIL,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0027.wav,F01,5.4
20,20,F01-Session1-arrayMic-0028,BUT HE ALWAYS ANSWERS BANANA OIL,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0028.wav,F01,4.5
21,21,F01-Session1-arrayMic-0029,BEAT,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0029.wav,F01,1.8
22,22,F01-Session1-arrayMic-0030,THE QUICK BROWN FOX JUMPS OVER THE LAZY DOG,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0030.wav,F01,5.25
23,23,F01-Session1-arrayMic-0031,THE QUICK BROWN FOX JUMPS OVER THE LAZY DOG,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0031.wav,F01,4.95
24,24,F01-Session1-arrayMic-0032,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0032.wav,F01,7.95
25,25,F01-Session1-arrayMic-0033,CAR,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0033.wav,F01,1.8
26,26,F01-Session1-arrayMic-0034,FEET,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0034.wav,F01,1.95
27,27,F01-Session1-arrayMic-0035,GIVING THOSE WHO OBSERVE HIM A PRONOUNCED FEELING OF THE UTMOST RESPECT,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0035.wav,F01,12.6
28,28,F01-Session1-arrayMic-0036,WE HAVE OFTEN URGED HIM TO WALK MORE AND SMOKE LESS,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0036.wav,F01,7.5
29,29,F01-Session1-arrayMic-0037,RAKE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0037.wav,F01,3.3
30,30,F01-Session1-arrayMic-0039,SWORE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0039.wav,F01,2.1
32,32,F01-Session1-arrayMic-0041,RAVE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0041.wav,F01,1.65
33,33,F01-Session1-arrayMic-0042,FOR,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0042.wav,F01,2.1
34,34,F01-Session1-arrayMic-0043,SIP,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0043.wav,F01,1.5
35,35,F01-Session1-arrayMic-0044,GROW,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0044.wav,F01,1.8
36,36,F01-Session1-arrayMic-0045,BIT,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0045.wav,F01,1.5
37,37,F01-Session1-arrayMic-0046,CHAIR,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0046.wav,F01,1.8
38,38,F01-Session1-arrayMic-0047,ONE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0047.wav,F01,1.5
39,39,F01-Session1-arrayMic-0048,FAIR,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0048.wav,F01,1.35
40,40,F01-Session1-arrayMic-0049,TWO,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0049.wav,F01,1.05
41,41,F01-Session1-arrayMic-0050,BETA,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0050.wav,F01,1.5
42,42,F01-Session1-arrayMic-0051,RAGE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0051.wav,F01,1.05
43,43,F01-Session1-arrayMic-0052,SPARK,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0052.wav,F01,1.5
44,44,F01-Session1-arrayMic-0053,SWARM,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0053.wav,F01,1.35
45,45,F01-Session1-arrayMic-0054,BEAT,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0054.wav,F01,1.05
46,46,F01-Session1-arrayMic-0057,RACE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0057.wav,F01,1.95
48,48,F01-Session1-arrayMic-0059,THE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0059.wav,F01,1.35
49,49,F01-Session1-arrayMic-0060,FORM,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0060.wav,F01,1.65
50,50,F01-Session1-arrayMic-0061,DARK,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0061.wav,F01,1.35
51,51,F01-Session1-arrayMic-0062,SIP,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0062.wav,F01,1.2
52,52,F01-Session1-arrayMic-0063,FARM,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0063.wav,F01,1.35
53,53,F01-Session1-arrayMic-0064,RAID,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0064.wav,F01,1.05
54,54,F01-Session1-arrayMic-0065,FEE,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0065.wav,F01,1.35
55,55,F01-Session1-arrayMic-0066,WEED,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0066.wav,F01,1.35
56,56,F01-Session1-arrayMic-0069,BAT,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0069.wav,F01,1.95
57,57,F01-Session1-arrayMic-0070,HORN,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0070.wav,F01,1.5
58,58,F01-Session1-arrayMic-0071,JAGGED,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0071.wav,F01,1.65
59,59,F01-Session1-arrayMic-0072,SHEET,/content/downloads/Torgo/F01/Session1/wav_arrayMic/0072.wav,F01,1.65
